timestamp,power_W
2025-11-13 10:27:13.925659,24.73
2025-11-13 10:27:14.925659,21.02
2025-11-13 10:27:15.925659,22.71
2025-11-13 10:27:16.925659,20.82
2025-11-13 10:27:17.925659,17.92
2025-11-13 10:27:18.925659,20.79
2025-11-13 10:27:19.925659,16.05
2025-11-13 10:27:20.925659,20.39
2025-11-13 10:27:21.925659,18.38
2025-11-13 10:27:22.925659,19.97
2025-11-13 10:27:23.925659,20.32
2025-11-13 10:27:24.925659,18.21
2025-11-13 10:27:25.925659,17.89
2025-11-13 10:27:26.925659,17.44
2025-11-13 10:27:27.925659,14.32
2025-11-13 10:27:28.925659,20.07
2025-11-13 10:27:29.925659,20.26
2025-11-13 10:27:30.925659,22.76
2025-11-13 10:27:31.925659,15.36
2025-11-13 10:27:32.925659,20.75
2025-11-13 10:27:33.925659,18.42
2025-11-13 10:27:34.925659,21.06
2025-11-13 10:27:35.925659,20.28
2025-11-13 10:27:36.925659,24.0
2025-11-13 10:27:37.925659,21.42
2025-11-13 10:27:38.925659,16.09
2025-11-13 10:27:39.925659,20.23
2025-11-13 10:27:40.925659,21.54
2025-11-13 10:27:41.925659,20.26
2025-11-13 10:27:42.925659,14.4
2025-11-13 10:27:43.925659,23.06
2025-11-13 10:27:44.925659,18.28
2025-11-13 10:27:45.925659,20.23
2025-11-13 10:27:46.925659,16.54
2025-11-13 10:27:47.925659,20.32
2025-11-13 10:27:48.925659,18.27
2025-11-13 10:27:49.925659,17.38
2025-11-13 10:27:50.925659,22.42
2025-11-13 10:27:51.925659,21.34
2025-11-13 10:27:52.925659,19.79
2025-11-13 10:27:53.925659,19.05
2025-11-13 10:27:54.925659,22.85
2025-11-13 10:27:55.925659,19.57
2025-11-13 10:27:56.925659,20.72
2025-11-13 10:27:57.925659,23.08
2025-11-13 10:27:58.925659,17.94
2025-11-13 10:27:59.925659,18.57
2025-11-13 10:28:00.925659,25.73
2025-11-13 10:28:01.925659,19.71
2025-11-13 10:28:02.925659,21.68
2025-11-13 10:28:03.925659,21.67
2025-11-13 10:28:04.925659,17.04
2025-11-13 10:28:05.925659,16.68
2025-11-13 10:28:06.925659,22.92
2025-11-13 10:28:07.925659,19.93
2025-11-13 10:28:08.925659,13.76
2025-11-13 10:28:09.925659,19.8
2025-11-13 10:28:10.925659,14.15
2025-11-13 10:28:11.925659,24.64
2025-11-13 10:28:12.925659,15.4
2025-11-13 10:28:13.925659,18.52
2025-11-13 10:28:14.925659,21.35
2025-11-13 10:28:15.925659,24.24
2025-11-13 10:28:16.925659,21.45
2025-11-13 10:28:17.925659,15.61
2025-11-13 10:28:18.925659,19.39
2025-11-13 10:28:19.925659,17.41
2025-11-13 10:28:20.925659,19.35
2025-11-13 10:28:21.925659,14.07
2025-11-13 10:28:22.925659,16.16
2025-11-13 10:28:23.925659,16.99
2025-11-13 10:28:24.925659,15.58
2025-11-13 10:28:25.925659,20.46
2025-11-13 10:28:26.925659,18.71
2025-11-13 10:28:27.925659,19.88
2025-11-13 10:28:28.925659,20.8
2025-11-13 10:28:29.925659,17.3
2025-11-13 10:28:30.925659,23.51
2025-11-13 10:28:31.925659,16.13
2025-11-13 10:28:32.925659,18.17
2025-11-13 10:28:33.925659,25.81
2025-11-13 10:28:34.925659,19.18
2025-11-13 10:28:35.925659,20.2
2025-11-13 10:28:36.925659,21.85
2025-11-13 10:28:37.925659,15.81
2025-11-13 10:28:38.925659,18.92
2025-11-13 10:28:39.925659,23.08
2025-11-13 10:28:40.925659,20.43
2025-11-13 10:28:41.925659,17.72
2025-11-13 10:28:42.925659,25.98
2025-11-13 10:28:43.925659,20.67
2025-11-13 10:28:44.925659,21.51
2025-11-13 10:28:45.925659,23.25
2025-11-13 10:28:46.925659,19.99
2025-11-13 10:28:47.925659,17.07
2025-11-13 10:28:48.925659,21.15
2025-11-13 10:28:49.925659,24.9
2025-11-13 10:28:50.925659,21.03
2025-11-13 10:28:51.925659,16.94
2025-11-13 10:28:52.925659,22.47
2025-11-13 10:28:53.925659,17.14
